Entity,Year,Country code,female suicide rate,male suicide rate
Bosnia and Herzegovina,1985,BIH,4.601067,16.3323
Bosnia and Herzegovina,1986,BIH,5.578468,18.28368
Bosnia and Herzegovina,1987,BIH,5.648069,17.01955
Bosnia and Herzegovina,1988,BIH,4.264499,15.55702
Bosnia and Herzegovina,1989,BIH,3.86869,16.46358
Bosnia and Herzegovina,1990,BIH,3.785358,17.07744
Bosnia and Herzegovina,1991,BIH,3.27064,19.39172
Bosnia and Herzegovina,2004,BIH,6.068046093,18.32401085
Botswana,2004,BWA,9.206121445,13.51235485
Brazil,1982,BRA,1.947609,5.755142
Brazil,1983,BRA,2.26725,6.410013
Brazil,1984,BRA,2.021245,6.256275
Brazil,1985,BRA,1.853886,5.968798
Brazil,1986,BRA,1.943074,5.911354
Brazil,1987,BRA,1.93474,6.251299
Brazil,1988,BRA,1.841214,5.751139
Brazil,1989,BRA,1.668564,5.703507
Brazil,1990,BRA,1.874173,5.882924
Brazil,1991,BRA,1.790918,6.350536
Brazil,1992,BRA,1.68751,6.344799
Brazil,1993,BRA,1.6468,6.478353
Brazil,1994,BRA,1.734251,6.76115
Brazil,1995,BRA,1.895723,7.532055
Brazil,1996,BRA,1.842513,7.540172
Brazil,1997,BRA,1.82712,7.696878
Brazil,1998,BRA,1.810481,7.559261
Brazil,1999,BRA,1.499834,7.024154
Brazil,2000,BRA,1.642224,7.046959
Brazil,2001,BRA,1.801882,7.816219
Brazil,2002,BRA,1.923308,7.419659
Brazil,2003,BRA,1.771712,7.534978
Brazil,2004,BRA,1.858153,7.456256
Brunei,2004,BRN,0.375145286,2.314272642
Bulgaria,1964,BGR,4.988511,12.42583
Bulgaria,1965,BGR,5.975726,11.98519
Bulgaria,1966,BGR,5.58489,13.80761
Bulgaria,1967,BGR,5.478089,14.45061
Bulgaria,1968,BGR,6.077128,12.91787
Bulgaria,1969,BGR,6.873514,14.96132
Bulgaria,1970,BGR,6.879066,15.68739
Bulgaria,1971,BGR,6.43973,16.56146
Bulgaria,1972,BGR,6.071483,15.01032
Bulgaria,1973,BGR,6.03754,15.31942
Bulgaria,1974,BGR,6.5073,16.5959
Bulgaria,1975,BGR,6.496712,16.90427
Bulgaria,1976,BGR,7.020559,18.26727
Bulgaria,1977,BGR,6.84496,18.83344
Bulgaria,1978,BGR,6.798341,17.51578
Bulgaria,1979,BGR,7.439748,17.9175
Bulgaria,1980,BGR,7.046616,17.07483
Bulgaria,1981,BGR,6.696206,17.22673
Bulgaria,1982,BGR,7.364737,19.59806
Bulgaria,1983,BGR,5.688814,17.09483
Bulgaria,1984,BGR,7.712174,21.47015
Bulgaria,1985,BGR,7.307676,20.39728
Bulgaria,1986,BGR,7.483826,19.65689
Bulgaria,1987,BGR,7.293007,21.20062
Bulgaria,1988,BGR,7.417935,20.13602
Bulgaria,1989,BGR,7.1627,20.532
Bulgaria,1990,BGR,6.729357,18.2777
Bulgaria,1991,BGR,6.157265,19.76532
Bulgaria,1992,BGR,7.011856,22.5407
Bulgaria,1993,BGR,7.656058,21.06948
Bulgaria,1994,BGR,7.263122,21.0789
Bulgaria,1995,BGR,7.016848,20.62824
Bulgaria,1996,BGR,7.075727,22.6841
Bulgaria,1997,BGR,7.83246,20.29183
Bulgaria,1998,BGR,7.508582,21.72878
Bulgaria,1999,BGR,5.760809,19.59204
Bulgaria,2000,BGR,6.385141,20.47067
Bulgaria,2001,BGR,6.135974,19.37578
Bulgaria,2002,BGR,5.639285,19.95738
Bulgaria,2003,BGR,5.019393,16.42971
Bulgaria,2004,BGR,4.429179,15.23398
Burkina Faso,2004,BFA,5.665971756,11.11455154
Burundi,2004,BDI,7.297821045,23.38735199
Cambodia,2004,KHM,3.420325994,6.975902557
Cameroon,2004,CMR,5.32839632,9.264327049
Canada,1950,CAN,3.701859,12.51228
Canada,1951,CAN,3.834756,11.79205
Canada,1952,CAN,3.627389,11.81356
Canada,1953,CAN,3.410489,11.74572
Canada,1954,CAN,3.741708,11.7628
Canada,1955,CAN,3.635554,11.60801
Canada,1956,CAN,3.781025,12.81928
Canada,1957,CAN,3.565373,12.84387
Canada,1958,CAN,3.267719,13.10699
Canada,1959,CAN,3.432731,12.77226
Canada,1960,CAN,3.347038,13.38076
Canada,1961,CAN,3.285075,13.31418
Canada,1962,CAN,3.417043,12.55741
Canada,1963,CAN,4.184049,12.78528
Canada,1964,CAN,4.573519,13.86395
Canada,1965,CAN,5.013979,14.53212
Canada,1966,CAN,4.816313,14.28775
Canada,1967,CAN,5.281665,14.71367
Canada,1968,CAN,5.707197,15.73342
Canada,1969,CAN,6.693918,16.94827
Canada,1970,CAN,6.85581,17.57492
Canada,1971,CAN,6.870836,18.49803
Canada,1972,CAN,7.348289,18.37494
Canada,1973,CAN,7.401609,18.82068
Canada,1974,CAN,7.404959,19.31564
Canada,1975,CAN,7.020964,18.13231
Canada,1976,CAN,7.364343,18.59252
Canada,1977,CAN,7.323486,21.10947
Canada,1978,CAN,7.249467,22.04765
Canada,1979,CAN,6.893365,20.92013
Canada,1980,CAN,6.64391,20.71511
Canada,1981,CAN,6.568106,20.54513
Canada,1982,CAN,6.296635,21.6451
Canada,1983,CAN,6.628303,22.32728
Canada,1984,CAN,5.813638,20.37497
Canada,1985,CAN,5.098656,19.35044
Canada,1986,CAN,5.993124,21.53621
Canada,1987,CAN,5.735684,20.88439
Canada,1988,CAN,5.511722,20.1366
Canada,1989,CAN,5.555664,19.67531
Canada,1990,CAN,4.865834,19.16189
Canada,1991,CAN,4.760344,20.17595
Canada,1992,CAN,5.139292,19.44672
Canada,1993,CAN,4.978075,19.56115
Canada,1994,CAN,4.922986,19.14119
Canada,1995,CAN,5.047436,20.02859
Canada,1996,CAN,5.167635,19.53172
Canada,1997,CAN,4.624682,18.1415
Canada,1998,CAN,4.641982,18.03863
Canada,1999,CAN,4.892793,19.48591
Canada,2000,CAN,4.77592,16.7276
Canada,2001,CAN,4.744035,16.87974
Canada,2002,CAN,4.632044,16.43473
Canada,2003,CAN,4.803301,16.5229
Canada,2004,CAN,4.828558,15.45435
Cape Verde,2004,CPV,4.764701843,6.932240009
Central African Republic,2004,CAF,8.773792267,19.05239296
Chad,2004,TCD,5.371674538,11.47701836
Chile,1955,CHL,1.705518,10.14658
Chile,1956,CHL,3.286162,15.55472
Chile,1957,CHL,2.787757,16.05564
Chile,1958,CHL,2.964926,13.85695
Chile,1959,CHL,2.39578,11.89201
Chile,1960,CHL,3.64664,15.52745
Chile,1961,CHL,4.176262,14.98439
Chile,1962,CHL,2.89764,13.58447
Chile,1963,CHL,0.8644308,8.365624
Chile,1964,CHL,1.288428,5.9983
Chile,1965,CHL,1.139999,3.899587
Chile,1966,CHL,3.682542,13.75362
Chile,1967,CHL,0.7630991,4.736737
Chile,1968,CHL,3.92298,17.60976
Chile,1969,CHL,3.416939,14.13075
Chile,1970,CHL,2.793142,12.57828
Chile,1971,CHL,2.091359,12.44193
Chile,1972,CHL,2.313092,11.66373
Chile,1973,CHL,2.220561,10.65717
Chile,1974,CHL,1.960531,11.86406
Chile,1975,CHL,2.509824,14.49703
Chile,1976,CHL,2.519268,11.0874
Chile,1977,CHL,1.640443,12.69665
Chile,1978,CHL,1.852657,10.73624
Chile,1979,CHL,2.253324,11.62537
Chile,1980,CHL,1.48823,9.521648
Chile,1981,CHL,2.07544,11.19215
Chile,1982,CHL,1.493241,11.66377
Chile,1983,CHL,1.791543,11.23366
Chile,1984,CHL,1.742825,12.28858
Chile,1985,CHL,2.013265,11.34721
Chile,1986,CHL,2.029685,10.16231
Chile,1987,CHL,2.036328,10.46597
Chile,1988,CHL,1.897084,10.52443
Chile,1989,CHL,1.596402,10.99345
Chile,1990,CHL,1.726302,11.00416
Chile,1991,CHL,2.030589,11.09824
Chile,1992,CHL,1.422202,9.234569
Chile,1993,CHL,1.73219,10.30432
Chile,1994,CHL,1.426363,11.1224
Chile,1995,CHL,1.791788,12.47464
Chile,1996,CHL,1.71192,11.97944
Chile,1997,CHL,1.860289,11.48508
Chile,1998,CHL,1.777482,13.05255
Chile,1999,CHL,1.834275,12.82792
Chile,2000,CHL,2.69615,17.53683
Chile,2001,CHL,2.945508,18.80452
Chile,2002,CHL,3.088813,17.88378
Chile,2003,CHL,3.112759,18.17283
Chile,2004,CHL,3.206247,18.62864
China,2004,CHN,18.02147102,15.98352337
Colombia,1953,COL,0.3979131,1.927473
Colombia,1954,COL,0.703688,3.257846
Colombia,1955,COL,0.3914769,2.832612
Colombia,1956,COL,0.3340232,2.222309
Colombia,1957,COL,0.2548287,1.509441
Colombia,1958,COL,1.547101,4.607212
Colombia,1959,COL,1.930941,5.305804
Colombia,1960,COL,1.765069,5.658239
Colombia,1961,COL,2.893297,6.966426
Colombia,1962,COL,2.765813,8.855237
Colombia,1963,COL,3.251587,8.351048
Colombia,1964,COL,3.631145,8.53073
Colombia,1965,COL,4.938983,11.05097
Colombia,1966,COL,4.73882,10.16444
Colombia,1967,COL,5.493619,11.5099
Colombia,1968,COL,2.756773,8.16477
Colombia,1969,COL,1.631767,6.431482
Colombia,1972,COL,2.245594,7.24022
Colombia,1974,COL,2.267192,7.248097
Colombia,1975,COL,2.168202,6.700744
Colombia,1976,COL,1.939155,6.727814
Colombia,1977,COL,1.501226,5.989031
Colombia,1984,COL,1.580137,7.092669
Colombia,1985,COL,1.499763,6.762831
Colombia,1986,COL,1.425974,6.019554
Colombia,1987,COL,1.123727,5.360235
Colombia,1988,COL,0.9852467,5.296733
Colombia,1989,COL,1.013285,4.640345
